,ADDRESS,CAMIS,Latitude,Longitude
41,976  RUTLAND ROAD,40363920,40.66211766,-73.92713254
56,261        DRIGGS AVENUE ,40364404,40.72259747,-73.94817957
57,62 CHARLES STREET,40364439,40.7348474,-74.00310474
70,56 9 AVENUE,40364715,40.74124489,-74.0050236
73,225 EAST 60 STREET,40364863,40.76198147,-73.96550887
79,390        HYLAN BOULEVARD ,40365022,40.60961219,-74.07446212
87,3 EAST 52 STREET,40365264,40.75977965,-73.97612172
194,2725       86 STREET ,40367860,40.59450893,-73.98143828
208,2001       HYLAN BOULEVARD ,40368291,40.5811179,-74.0988555
222,180        PRINCE STREET ,40368752,40.7262972,-74.00208416
250,1 WATER STREET,40369608,40.70296069,-73.99448012
331,114        BAYRIDGE AVENUE ,40372999,40.63742139,-74.03166359
355,2716 GERRITSEN AVENUE,40374268,40.59288342,-73.92527211
381,1619 86 STREET,40375972,40.60978226,-74.00670647
478,650        FOREST AVENUE ,40381811,40.62965059,-74.110793
483,94 AVENUE A,40382367,40.72552446,-73.98383781
512,5977       BROADWAY ,40383819,40.88975009,-73.89853518
577,35 WEST 20 STREET,40386619,40.74020451,-73.99205652
594,280        WATCHOGUE ROAD ,40387243,40.6161415,-74.1386145
616,200        VARICK STREET ,40388194,40.72838182,-74.00527589
673,84 COURT STREET,40389903,40.69139141,-73.99162514
726,1310 BROADWAY,40391562,40.69053979,-73.92400913
848,293        BROADWAY ,40394916,40.70854691,-73.95807229
862,315        WEST 54 STREET ,40395152,40.76503655,-73.9847142
863,220        EAST 86 STREET ,40395200,40.77856404,-73.95352214
893,3533 BROADWAY,40395872,40.8262636,-73.950656
955,8812       4 AVENUE ,40397335,40.62117432,-74.02909174
974,6334 AVENUE N,40397725,40.61952958,-73.91668754
1000,3482       NOSTRAND AVENUE ,40398549,40.59885264,-73.9416587
1007,1709 WEBSTER AVENUE,40398642,40.84335575,-73.90345747
1018,261 AVENUE X,40398899,40.59026697,-73.9732564
1072,3601       RIVERDALE AVENUE ,40399988,40.88664278,-73.90709697
1079,4413 13 AVENUE,40400149,40.63770876,-73.9892339
1108,236 EAST 53 STREET,40400686,40.75730142,-73.96858744
1139,2579 CROPSEY AVENUE,40401224,40.59069668,-73.99170092
1171,105        HUDSON STREET ,40401946,40.7193229,-74.00876725
1236,92         NASSAU AVENUE ,40403830,40.72389708,-73.95022569
1267,3978       WHITE PLAINS ROAD ,40423830,40.88791575,-73.86031534
1315,1535 BROADWAY,40483695,40.75808691,-73.98558758
1315,1535 BROADWAY,40483695,40.75808691,-73.98558758
1337,207 MADISON STREET,40511292,40.71273199,-73.98959566
1361,967        LEXINGTON AVENUE ,40512445,40.76922294,-73.96299802
1369,14 EAST 47 STREET,40512865,40.75624073,-73.97772905
